politician         ,NoC ,%                 ,44
@                  ,@   ,politician        ,11
@                  ,@   ,politicians       ,33
politics           ,NoC ,:                 ,75
poll               ,NoC ,%                 ,39
@                  ,@   ,poll              ,28
@                  ,@   ,polls             ,11
pollution          ,NoC ,%                 ,42
@                  ,@   ,pollution         ,41
@                  ,@   ,pollutions        ,0
polymer            ,NoC ,%                 ,12
@                  ,@   ,polymer           ,7
@                  ,@   ,polymers          ,5
polytechnic        ,NoC ,%                 ,19
@                  ,@   ,polytechnic       ,12
@                  ,@   ,polytechnics      ,6
pond               ,NoC ,%                 ,22
@                  ,@   ,pond              ,17
@                  ,@   ,ponds             ,5
pony               ,NoC ,%                 ,11
@                  ,@   ,ponies            ,4
@                  ,@   ,pony              ,7
pool               ,NoC ,%                 ,56
@                  ,@   ,pool              ,45
@                  ,@   ,pools             ,11
poor               ,Adj ,%                 ,166
@                  ,@   ,poor              ,151
@                  ,@   ,poorer            ,9
@                  ,@   ,poorest           ,6
pop                ,NoC ,%                 ,23
@                  ,@   ,pop               ,22
@                  ,@   ,pops              ,2
pop                ,Verb,%                 ,20
@                  ,@   ,pop               ,10
@                  ,@   ,popped            ,6
@                  ,@   ,popping           ,3
@                  ,@   ,pops              ,1
Pope               ,NoC ,%                 ,20
@                  ,@   ,Pope              ,19
@                  ,@   ,Popes             ,2
popular            ,Adj ,:                 ,106
popularity         ,NoC ,:                 ,14
population         ,NoC ,%                 ,147
@                  ,@   ,population        ,132
@                  ,@   ,populations       ,15
port               ,NoC ,%                 ,41
@                  ,@   ,port              ,30
@                  ,@   ,ports             ,11
portfolio          ,NoC ,%                 ,19
@                  ,@   ,portfolio         ,16
@                  ,@   ,portfolios        ,4
portion            ,NoC ,%                 ,15
@                  ,@   ,portion           ,11
@                  ,@   ,portions          ,4
portrait           ,NoC ,%                 ,25
@                  ,@   ,portrait          ,17
@                  ,@   ,portraits         ,8
Portugal           ,NoP ,%                 ,11
@                  ,@   ,Portugal          ,11
pose               ,Verb,%                 ,29
@                  ,@   ,pose              ,8
@                  ,@   ,posed             ,13
@                  ,@   ,poses             ,5
@                  ,@   ,posing            ,4
position           ,NoC ,%                 ,268
@                  ,@   ,position          ,228
@                  ,@   ,positions         ,39
position           ,Verb,%                 ,13
@                  ,@   ,position          ,3
@                  ,@   ,positioned        ,7
@                  ,@   ,positioning       ,1
@                  ,@   ,positions         ,1
positive           ,Adj ,:                 ,83
positively         ,Adv ,:                 ,13
possess            ,Verb,%                 ,42
@                  ,@   ,possess           ,15
@                  ,@   ,possessed         ,16
@                  ,@   ,possesses         ,5
@                  ,@   ,possessing        ,5
possession         ,NoC ,%                 ,37
@                  ,@   ,possession        ,29
@                  ,@   ,possessions       ,9
possibility        ,NoC ,%                 ,96
@                  ,@   ,possibilities     ,25
@                  ,@   ,possibility       ,71
possible           ,Adj ,:                 ,342
possibly           ,Adv ,:                 ,73
post               ,NoC ,%                 ,111
@                  ,@   ,post              ,88
@                  ,@   ,posts             ,22
post-war           ,Adj ,:                 ,16
poster             ,NoC ,%                 ,17
@                  ,@   ,poster            ,8
@                  ,@   ,posters           ,9
postpone           ,Verb,%                 ,11
@                  ,@   ,postpone          ,3
@                  ,@   ,postponed         ,7
@                  ,@   ,postpones         ,0
pot                ,NoC ,%                 ,29
@                  ,@   ,pot               ,19
@                  ,@   ,pots              ,10
potato             ,NoC ,%                 ,25
@                  ,@   ,potato            ,9
@                  ,@   ,potatoes          ,16
potential          ,Adj ,:                 ,66
potential          ,NoC ,%                 ,48
@                  ,@   ,potential         ,46
@                  ,@   ,potentials        ,1
potentially        ,Adv ,:                 ,24
pound              ,NoC ,%                 ,184
@                  ,@   ,pound             ,61
@                  ,@   ,pounds            ,123
pour               ,Verb,%                 ,37
@                  ,@   ,pour              ,11
@                  ,@   ,poured            ,18
@                  ,@   ,pouring           ,7
@                  ,@   ,pours             ,1
poverty            ,NoC ,:                 ,31
powder             ,NoC ,%                 ,15
@                  ,@   ,powder            ,13
@                  ,@   ,powders           ,2
power              ,NoC ,%                 ,385
@                  ,@   ,power             ,318
@                  ,@   ,powers            ,68
powerful           ,Adj ,:                 ,72
pp                 ,NoC ,%                 ,60
@                  ,@   ,p.p.              ,0
@                  ,@   ,pp                ,4
